customer_id,cpf_hash,name,email,phone,city,state,created_at,status,source_file,ingestion_timestamp,pipeline_run_date,has_email,has_phone,has_created_at,processed_at
C0001,hash_0001_3286,720bd67ba1ed5f466528f60084aa0b7d5ffb0403dd0ffe598372e1db83ea244a,***@outlook.com,*******8838,Campinas,SP,2024-01-07,active,BRA - Cientista de dados - Customers .csv,2026-05-06T15:42:47.651792+00:00,2026-05-06,True,True,True,2026-05-06T15:42:47.662673+00:00
C0002,hash_0002_2535,96e6573ca96f46cd59ee4ab033aa8a9d3e3051e53701e41735734355b935a040,***@empresa.com.br,*******9315,Londrina,PR,2024-01-23,active,BRA - Cientista de dados - Customers .csv,2026-05-06T15:42:47.651792+00:00,2026-05-06,True,True,True,2026-05-06T15:42:47.662673+00:00
C0003,hash_0003_9928,52f4554be2d734bcc93d2db38839d01385cfe77c5080a35d15071d601cf943a5,***@email.com,*******7537,Londrina,PR,2024-06-03,inactive,BRA - Cientista de dados - Customers .csv,2026-05-06T15:42:47.651792+00:00,2026-05-06,True,True,True,2026-05-06T15:42:47.662673+00:00
C0004,hash_0004_7924,c000e9128b722974db20f376fa2819bf1be224e60e21551ca926a1d27ec174ad,***@outlook.com,*******9110,Curitiba,PR,2024-05-30,active,BRA - Cientista de dados - Customers .csv,2026-05-06T15:42:47.651792+00:00,2026-05-06,True,True,True,2026-05-06T15:42:47.662673+00:00
C0006,hash_0006_9785,056875932a67389be26c4c4e0f2975383fb508568500ba7cd451b96085b05fad,***@outlook.com,*******2963,Belo Horizonte,MG,2024-06-03,active,BRA - Cientista de dados - Customers .csv,2026-05-06T15:42:47.651792+00:00,2026-05-06,True,True,True,2026-05-06T15:42:47.662673+00:00
C0007,hash_0007_4150,dbfecdeb60d24160840e4ec370459719678978be2a2ba7a2a197d846270b1c15,,*******7831,Uberlândia,MG,2024-01-21,active,BRA - Cientista de dados - Customers .csv,2026-05-06T15:42:47.651792+00:00,2026-05-06,False,True,True,2026-05-06T15:42:47.662673+00:00
C0008,hash_0008_2654,422cbf5aa86a72287bf67be2102e87fa75daa872e55b9c978be99a9d5a616359,***@outlook.com,*******4663,Rio de Janeiro,RJ,2024-07-16,inactive,BRA - Cientista de dados - Customers .csv,2026-05-06T15:42:47.651792+00:00,2026-05-06,True,True,True,2026-05-06T15:42:47.662673+00:00
C0009,hash_0009_6820,88f1601d4d1d7e273b848134ca16cb8d4a36227ffc0b4ebd6f6e1f4e0b8a5e54,***@outlook.com,*******4848,Curitiba,PR,2024-06-11,active,BRA - Cientista de dados - Customers .csv,2026-05-06T15:42:47.651792+00:00,2026-05-06,True,True,True,2026-05-06T15:42:47.662673+00:00
C0010,hash_0010_3803,2ae1cda9f809232a67443744d9452044c9b74260fbbe8be44c7d8599b6cd771d,***@email.com,*******5343,Niterói,RJ,2024-06-28,blocked,BRA - Cientista de dados - Customers .csv,2026-05-06T15:42:47.651792+00:00,2026-05-06,True,True,True,2026-05-06T15:42:47.662673+00:00
C0011,hash_0011_4598,cdbbf22abdabbf966695db9e04b8c910da5e0dfda33a110a1b575da97f9c61ea,***@empresa.com.br,*******1783,Rio de Janeiro,RJ,2024-02-11,active,BRA - Cientista de dados - Customers .csv,2026-05-06T15:42:47.651792+00:00,2026-05-06,True,True,True,2026-05-06T15:42:47.662673+00:00
